story_ID,story
스토리,내용
string,string
RYTA1001,책장을 지나치다 빛이 나는 진보라색 책을 발견한다. \n마법책에서나 볼 것 같은 글씨체로 적힌 ‘RYTA’라는 제목 아래 적힌 글을 읽어본다. \n 『‘동화’\c 당신은 동화를 어떻게 생각하시나요? 어릴 적 읽었던 유치한 이야기? 아니면 상상력을 자극하는 동심 가득한 이야기? ···』 \n‘동화’를 어떻게 생각하냐고.
RYTA1002,뒤에는 읽어볼 것도 없다. \n결국 동심으로 돌아가 한 번 상상력을 자극하라는 이야기겠지. \n쓸데없는 책을 읽으려고 했다는 생각에 책을 다시 원래 자리로 되돌려놓는다. 
RYTA1003,『··· 사실 어떻게 생각하든 상관없습니다.  \n지금부턴 어떻게 생각하든지간에  \n당신은 이 ‘리타(ryta)’에서 이야기를 새로 써가야할 테니까요.』
RYTA1004,1시간 정도 더 도서관에서 책을 보다가 오늘은 어떠한 책도 빌리지 않고 밖으로 나선다.
RYTA1005,분수? 언제부터 도서관 앞에 분수가 있었지?  \n분명히 도서관을 나가면 돌계단이 보이고 주차장이 보여야 하는데 지금 눈 앞에 보이는 건 분수다.
RYTA1006,눈 앞에 있는 건 도서관의 유리문이 아니라 어떤 집의 나무문이다.  \n당황스럽지만 천천히 계단을 내려가  \n다시 그 문을 바라보지만  \n그 문은 내가 열고 나왔던 도서관 문이 아니다.  \n“거기\c 남의 집 앞에서 뭐하셔?”
RYTA1007,“무슨 소리야. 여기 우리 집이야\c 내 집.”
RYTA1008,“우리 집이라니까? 리타 로도드 1번가 1에 있는 내 집.”\n리타(ryta)\c 로도드(rhodode).\n리타? 어디서 들어봤지?\n그럼 일단 여긴 대한민국이 아닌건가.\n혼란스러워 잠시 멍을 때리자 다시 집주인이 말을 건다. \n“옷 보니까 빨간 모자님 보러 왔나 본데 여기 빨간 모자님 집 아니야. 곧 있으면 분수대 앞에 오실 거야. 좀만 기다려봐.”
RYTA1009,도저히 지금의 상황을 이해할 수 없어 잠시 머리를 굴리는 동안 집주인이 툭툭 건들더니 손가락으로 반대편을 가리킨다.\n그곳을 쳐다보자 빨간 망토를 두른 사람들이 우르르 모여있다.
RYTA1010,지금에서야 입고 있는 옷을 바라보니 집주인처럼 빨간 망토를 두르고 갈색 가방을 매고 있다.
RYTA1011,앞에 서 있는 집주인부터 주변을 둘러보았을 때 보이는 사람들까지 모두가 빨간 망토를 두르고 있다.
RYTA1012,도저히 지금의 상황을 이해할 수 없어 잠시 머리를 굴리는 동안 집주인이 툭툭 건들더니 손가락으로 반대편을 가리킨다.\n그곳을 쳐다보자 빨간 망토를 두른 사람들이 우르르 모여있다.
RYTA1013,상황 파악이 되지는 않아 멍한 상태로 사람들에게 천천히 걸어간다.\n북적북적하게 몰려있는 사람들의 틈에 다른 사람들과 다르게 더 밝은 빨간색의 망토가 보인다.\n그 망토의 주인을 보기 위해 틈을 비집고 들어가려고 하지만 너무나 많은 사람들이 계속 몰려들어 보는 것이 쉽지 않다.
RYTA1014,"""왜 가까이 안 가? 하루에 한 번밖에 못 봐. 가까이 가면 다른 사람들보다 더 밝은 빨간색의 망토를 하고 계시는 분이 계실 텐데 그 분이 빨간 모자님이야.""\n다시 사람들이 모인 곳을 바라보자 잠시지만 정말 사람들 사이에 밝은 빨간색의 망토가 보였다. "
RYTA1015,밝은 빨간 모자의 주인이 타이밍에 맞춰 자신의 쪽으로 고개를 돌린다.\n중학생 정도로 보이는 갈색 단발머리의 소녀.
RYTA1016,"""빨간 모자님? 갈색 단발 머리에 눈꼬리가 축 처진 게 강아지를 쏙 빼닯으셨지.""\n갈색 단발 머리. 그것말고는 딱히 얻을 만한 게 없는 대답이었다. "
RYTA1017,"""뭐하는 사람들이긴\c 다들 빨간 모자님께 감사를 표하는 사람들이지. 마을을 지켜주시는 것처럼 우리도 꼭 좀 지켜달라고 부탁도 좀 하고."""
RYTA1018,"눈이 마주치자마자 소녀 쪽으로 다가가려는 사람들에 의해 뒤로 밀려나고 그제서야 다른 사람들의 말이 들린다.\n""빨간 모자님\c 오늘도 저희 마을을 지켜주셔서 감사합니다!""\n'""빨간 모자님\c 이거 받아주세요."""
RYTA1019,"정신도 들지 않았던 복잡한 머리를 정리도 하고 서 있느라 힘이 풀리는 다리를 견딜 수 없어 그 자리에 쭈그리고 앉는다.""좀 있으면 가겠다. 손이라도 한 번 스치고 와. 그 분의 기운이 널 지켜줄거야. 빨간 모자님이 우리 마을을 지켜주시는 것처럼."""
RYTA1020,아까 본 집주인부터 여기 있는 사람들까지 모두가 그 소녀를 '빨간 모자님'이라고 지칭한다.\n사람 이름이 아니라 빨간 모자라고 표현하는 것도 모자라 '님'자를 붙여 높여 표현하는 게 마치 신을 바라보는 것처럼 보인다.\n거기다 사람들은 그 소녀에게 돈부터 과일까지 다양한 것들을 건넨다.
RYTA1021,여태까지 본 이상한 상황들을 더이상 받아들일 수 없어 내가 있던 도서관으로 향하고 싶은 마음이 내 온몸을 사로잡는다\c\n하지만 다시 돌아간 곳 역시 도서관은 무슨\c 그 집주인의 집 문 그대로다.
RYTA1022,"받아들일 수 없는 현실에도 내 현실은 변하지 않는다는 걸 새삼 눈으로 보니 온몸의 힘이 풀린다.\n""빨간 모자님 봤구나. 처음 보면 다 그래. 오늘도 우리 마을을 지켜주려고 오셨나보네."""
RYTA1023,그 작은 소녀가 마을을 지킨다고?\n힘이 풀린 몸과 반대로 집주인의 말을 듣자 머리는 계속해서 굴러간다.\n빨간 모자\c 작은 소녀\c 마을을 지킨다.\n머릿속을 가득 채운 세 개의 키워드는 자꾸만 유치한 생각으로 이어진다.
