story_ID,choice_group_ID,Target1_type,Target1_change_value,Target2_type,Target2_change_value
Story_0001,선택지,아이템 수량 변경,,아이템 수량 변경,
String,String,String,int,String,int
Story_0001,Choice_FoodMenu_00,Item_Money,1000,,
Story_0002,Choice_StoryFlow_00,Item_Hamberger,-1,,
Story_0003,Choice_StoryFlow_00,Item_Pizza,-1,,
Story_0004,Choice_StoryFlow_00,Item_Chicken,-1,,
Story_0005,Choice_StoryFlow_00,,,,
Story_0006,Choice_OpenDoor_00,,,,
Story_0007,Choice_StoryFlow_01,Item_Key,-1,,
Story_0008,Choice_StoryFlow_01,,,,
Story_0009,Choice_OpenDoor_01,,,,
Story_0010,Choice_StoryFlow_02,,,,
Story_0011,Choice_StoryFlow_02,Item_Key,-1,,
Story_0012,Choice_VisitStore_00,,,,
Story_0013,Choice_StoryFlow_03,Item_Money,-1000,,
Story_0014,Choice_StoryFlow_03,,,,
Story_0015,Choice_VisitStore_01,,,,
Story_0016,Choice_StoryFlow_04,Item_Money,-1000,,
Story_0017,Choice_StoryFlow_04,Item_Money,-1000,,
Story_0018,Choice_StoryFlow_04,,,,
Story_0019,Choice_ GetItem_00,,,,
Story_0020,Choice_StoryFlow_05,Item_Bag,1,,
Story_0021,Choice_lossItem_00,,,,
Story_0022,Choice_StoryFlow_06,Item_Bag,-1,,
Story_0023,,,,,
Story_0024,,,,,
Story_0025,,,,,
Story_0026,,,,,
Story_0027,,,,,
Story_0028,,,,,
Story_0029,,,,,
Story_0030,,,,,
Story_0031,,,,,
Story_0032,,,,,
Story_0033,,,,,
