Resourses_ID,BGM,Voice,SFX,Illustration,Toast
스토리출약자,,,,,
string,string,string,string,string,string
Story_0000,,,,,
Story_0001,,,,,
Story_0006,,,,,
Story_0008,,,,,
Story_0009,,,,,
Story_0010,,,,,
Story_0013,,,,,
Story_0014,,,,,
Story_0018,,,,,
Story_0019,,,,,
Story_0020,,,,,
Story_0025,,,,,
Story_0026,,,,,
Story_0027,,,,,
Story_0028,,,,,
Story_0029,,,,,
Story_0032,,,,,
Story_0033,,,,,
Story_0036,,,,,
Story_0037,,,,,
Story_0040,,,,,
Story_0042,,,,,
Story_0046,,,,,
Story_0047,,,,,
Story_0048,,,,,
Story_0055,,,,,
Story_0056,,,,,
Story_0057,,,,,
Story_0058,,,,,
Story_0059,,,,,
Story_0060,,,,,
Story_0061,,,,,
Story_0062,,,,,
Story_0066,,,,,
Story_0069,,,,,
Story_0070,,,,,
Story_0071,,,,,
Story_0073,,,,,
Story_0074,,,,,
Story_0075,,,,,
Story_0076,,,,,
Story_0077,,,,,
Story_0081,,,,,
Story_0082,,,,,
Story_0083,,,,,
Story_0086,,,,,
Story_0087,,,,,
Story_0090,,,,,
Story_0095,,,,,
Story_0098,,,,,
Story_0099,,,,,
Story_0100,,,,,
Story_0101,,,,,
Story_0104,,,,,
Story_0105,,,,,
Story_0107,,,,,
Story_0108,,,,,
Story_0111,,,,,
Story_0112,,,,,
Story_0115,,,,,
Story_0118,,,,,
Story_0119,,,,,
Story_0122,,,,,
Story_0123,,,,,
Story_0128,,,,,
Story_0129,,,,,
Story_0130,,,,,
Story_0131,,,,,
Story_0133,,,,,
Story_0134,,,,,
Story_0137,,,,,
Story_0138,,,,,
Story_0141,,,,,
Story_0143,,,,,
Story_0145,,,,,
Story_0146,,,,,
Story_0149,,,,,
Story_0152,,,,,
Story_0153,,,,,
Story_0154,,,,,
Story_0155,,,,,
