story_ID,choice_group_ID,Target1_type,Target1_change_value,Target2_type,Target2_change_value
Story_0001,선택지,아이템 수량 변경,,아이템 수량 변경,
String,String,String,int,String,int
Story_0000,Choice_Story_0000,Null,,Null,
Story_0001,Choice_Story_0001,Null,,Null,
Story_0006,Choice_Story_0006,Null,,Null,
Story_0008,Choice_Story_0008,Null,,Null,
Story_0009,Choice_Story_0009,Null,,Null,
Story_0010,Choice_Story_0010,Null,,Null,
Story_0013,Choice_Story_0013,Null,,Null,
Story_0014,Choice_Story_0014,Null,,Null,
Story_0018,Choice_Story_0018,Null,,Null,
Story_0019,Choice_Story_0019,Null,,Null,
Story_0020,Choice_Story_0020,Null,,Null,
Story_0025,Choice_Story_0025,Item_c0c2,1,Null,
Story_0026,Choice_Story_0026,Item_c0c3,1,Null,
Story_0027,Choice_Story_0027,Item_c0c3,1,Null,
Story_0028,Choice_Story_0028,Null,,Null,
Story_0029,Choice_Story_0029,Null,,Null,
Story_0032,Choice_Story_0032,Null,,Null,
Story_0033,Choice_Story_0033,Null,,Null,
Story_0036,Choice_Story_0036,Null,,Null,
Story_0037,Choice_Story_0037,Null,,Null,
Story_0040,Choice_Story_0040,Null,,Null,
Story_0042,Choice_Story_0042,Null,,Null,
Story_0046,Choice_Story_0046,Null,,Null,
Story_0047,Choice_Story_0047,Null,,Null,
Story_0048,Choice_Story_0048,Null,,Null,
Story_0055,Choice_Story_0055,Item_waiting,1,Item_scarf,1
Story_0056,Choice_Story_0056,Item_waiting,1,Item_blancket,1
Story_0057,Choice_Story_0057,Item_waiting,1,Null,
Story_0058,Choice_Story_0058,Null,,Null,
Story_0059,Choice_Story_0059,Null,,Item_blancket,1
Story_0060,Choice_Story_0060,Null,,Item_scarf,1
Story_0061,Choice_Story_0061,Null,,Null,
Story_0062,Choice_Story_0062,Null,,Null,
Story_0066,Choice_Story_0066,Null,,Null,
Story_0069,Choice_Story_0069,Null,,Null,
Story_0070,Choice_Story_0070,Null,,Null,
Story_0071,Choice_Story_0071,Null,,Null,
Story_0073,Choice_Story_0073,Null,,Null,
Story_0074,Choice_Story_0074,Null,,Null,
Story_0075,Choice_Story_0075,Null,,Null,
Story_0076,Choice_Story_0076,Null,,Null,
Story_0077,Choice_Story_0077,Null,,Null,
Story_0081,Choice_Story_0081,Null,,Null,
Story_0082,Choice_Story_0082,Null,,Null,
Story_0083,Choice_Story_0083,Null,,Null,
Story_0086,Choice_Story_0086,Null,,Null,
Story_0087,Choice_Story_0087,Null,,Null,
Story_0090,Choice_Story_0090,Null,,Null,
Story_0095,Choice_Story_0095,Item_c1c1,1,Item_c1,1
Story_0098,Choice_Story_0098,Null,,Null,
Story_0099,Choice_Story_0099,Null,,Null,
Story_0100,Choice_Story_0100,Item_c1c2,1,Item_c1,1
Story_0101,Choice_Story_0101,Item_c1c3,1,Item_c1,1
Story_0104,Choice_Story_0104,Null,,Null,
Story_0105,Choice_Story_0105,Null,,Null,
Story_0107,Choice_Story_0107,Null,,Null,
Story_0108,Choice_Story_0108,Null,,Null,
Story_0111,Choice_Story_0111,Null,,Null,
Story_0112,Choice_Story_0112,Null,,Null,
Story_0115,Choice_Story_0115,Null,,Null,
Story_0118,Choice_Story_0118,Null,,Null,
Story_0119,Choice_Story_0119,Null,,Null,
Story_0122,Choice_Story_0122,Null,,Null,
Story_0123,Choice_Story_0123,Null,,Null,
Story_0128,Choice_Story_0128,Null,,Null,
Story_0129,Choice_Story_0129,Null,,Null,
Story_0130,Choice_Story_0130,Null,,Null,
Story_0131,Choice_Story_0131,Null,,Null,
Story_0133,Choice_Story_0133,Item_green,1,Null,
Story_0134,Choice_Story_0134,Null,,Null,
Story_0137,Choice_Story_0137,Null,,Null,
Story_0138,Choice_Story_0138,Null,,Null,
Story_0141,Choice_Story_0141,Item_black,1,Null,
Story_0143,Choice_Story_0143,Null,,Null,
Story_0145,Choice_Story_0145,Null,,Null,
Story_0146,Choice_Story_0146,Null,,Null,
Story_0149,Choice_Story_0149,Null,,Null,
Story_0152,Choice_Story_0152,Null,,Null,
Story_0153,Choice_Story_0153,Null,,Null,
Story_0154,Choice_Story_0154,Null,,Null,
Story_0155,Choice_Story_0155,Null,,Null,
